Index, Original Porosity, Generated Porosity
265,0.254615,0.253236
266,0.254615,0.250848
267,0.254615,0.151259
268,0.254615,0.252278
269,0.254615,0.252785
270,0.254615,0.251948
271,0.254615,0.252906
272,0.266696,0.245453
273,0.266696,0.145190
274,0.266696,0.244993
275,0.266696,0.242395
276,0.266696,0.194732
277,0.266696,0.258160
278,0.266696,0.245368
279,0.266696,0.247238
280,0.265376,0.260561
281,0.265376,0.261186
282,0.265376,0.258622
283,0.265376,0.259340
284,0.265376,0.259755
285,0.265376,0.260876
286,0.265376,0.216711
287,0.265376,0.185899
288,0.264348,0.260201
289,0.264348,0.260877
290,0.264348,0.259461
291,0.264348,0.262010
292,0.264348,0.260754
293,0.264348,0.236858
294,0.264348,0.211592
295,0.264348,0.234577
296,0.287023,0.283572
297,0.287023,0.284602
298,0.287023,0.284270
299,0.287023,0.282029
300,0.287023,0.282316
301,0.287023,0.284626
302,0.287023,0.283439
303,0.287023,0.281402
304,0.240438,0.238640
305,0.240438,0.213474
306,0.240438,0.237800
307,0.240438,0.234843
308,0.240438,0.237974
309,0.240438,0.237769
310,0.240438,0.234630
311,0.240438,0.230758
312,0.250574,0.247570
313,0.250574,0.249425
314,0.250574,0.248159
315,0.250574,0.248228
316,0.250574,0.249809
317,0.250574,0.246658
318,0.250574,0.245877
319,0.250574,0.247587
320,0.286564,0.282221
321,0.286564,0.280552
322,0.286564,0.284117
323,0.286564,0.282977
324,0.286564,0.282460
325,0.286564,0.282015
326,0.286564,0.282717
327,0.286564,0.281364
0,0.193069,0.191442
1,0.193069,0.190647
2,0.193069,0.191085
3,0.193069,0.144754
8,0.193069,0.179839
9,0.193069,0.178526
10,0.193069,0.190641
11,0.193069,0.189954
16,0.282032,0.271317
17,0.282032,0.278277
18,0.282032,0.268460
19,0.282032,0.279212
24,0.282032,0.272295
25,0.282032,0.278312
26,0.282032,0.278291
27,0.282032,0.277296
32,0.318214,0.313584
33,0.318214,0.308655
34,0.318214,0.312096
35,0.318214,0.310731
40,0.318214,0.210902
41,0.318214,0.310719
42,0.318214,0.303413
43,0.318214,0.310253
48,0.173836,0.173927
49,0.173836,0.173781
50,0.173836,0.173534
51,0.173836,0.167842
56,0.173836,0.168711
57,0.173836,0.173728
58,0.173836,0.172819
59,0.173836,0.167159
64,0.286036,0.279001
65,0.286036,0.281831
66,0.286036,0.282410
67,0.286036,0.282268
72,0.286036,0.281766
73,0.286036,0.282351
74,0.286036,0.282005
75,0.286036,0.283747
80,0.211059,0.204571
81,0.211059,0.206335
82,0.211059,0.208516
83,0.211059,0.210329
88,0.211059,0.198986
89,0.211059,0.178296
90,0.211059,0.208717
91,0.211059,0.204688
96,0.297288,0.293070
97,0.297288,0.290632
98,0.297288,0.288152
99,0.297288,0.291976
104,0.297288,0.242129
105,0.297288,0.287656
106,0.297288,0.292603
107,0.297288,0.292324
112,0.224228,0.218224
113,0.224228,0.218771
114,0.224228,0.185090
115,0.224228,0.216053
120,0.224228,0.203151
121,0.224228,0.208857
122,0.224228,0.195950
123,0.224228,0.196468
128,0.332874,0.326231
129,0.332874,0.324487
130,0.332874,0.318767
131,0.332874,0.325492
136,0.332874,0.262470
137,0.332874,0.249664
138,0.332874,0.247620
139,0.332874,0.328005
144,0.285784,0.281628
145,0.285784,0.280662
146,0.285784,0.280192
147,0.285784,0.276488
152,0.285784,0.246202
153,0.285784,0.240569
154,0.285784,0.274254
155,0.285784,0.246860
160,0.285790,0.278938
161,0.285790,0.282427
162,0.285790,0.275939
163,0.285790,0.283188
168,0.285790,0.271645
169,0.285790,0.190576
170,0.285790,0.256555
171,0.285790,0.281692
176,0.234096,0.231844
177,0.234096,0.232123
178,0.234096,0.228930
179,0.234096,0.232741
184,0.234096,0.231481
185,0.234096,0.232243
186,0.234096,0.232274
187,0.234096,0.232832
192,0.209679,0.141302
193,0.209679,0.204121
194,0.209679,0.146482
195,0.209679,0.153511
200,0.209679,0.171963
201,0.209679,0.206675
202,0.209679,0.202338
203,0.209679,0.205127
208,0.228809,0.157475
209,0.228809,0.227261
210,0.228809,0.221774
211,0.228809,0.225127
216,0.228809,0.197221
217,0.228809,0.221843
218,0.228809,0.186291
219,0.228809,0.225948
224,0.329865,0.107283
225,0.329865,0.248335
226,0.329865,0.244527
227,0.329865,0.254454
232,0.329865,0.271673
233,0.329865,0.251343
234,0.329865,0.228691
235,0.329865,0.255243
240,0.262251,0.233081
241,0.262251,0.242929
242,0.262251,0.252046
243,0.262251,0.253533
248,0.262251,0.234920
249,0.262251,0.246089
250,0.262251,0.252061
251,0.262251,0.258339
256,0.162057,0.156177
257,0.162057,0.160482
258,0.162057,0.161086
259,0.162057,0.151181
264,0.162057,0.140675
265,0.162057,0.138091
266,0.162057,0.158469
267,0.162057,0.144007
272,0.300999,0.269647
273,0.300999,0.274236
274,0.300999,0.292200
275,0.300999,0.294326
280,0.300999,0.295887
281,0.300999,0.291262
282,0.300999,0.296006
283,0.300999,0.292710
288,0.315188,0.306459
289,0.315188,0.287000
290,0.315188,0.303950
291,0.315188,0.301469
296,0.315188,0.291430
297,0.315188,0.270303
298,0.315188,0.292773
299,0.315188,0.287051
304,0.315617,0.266665
305,0.315617,0.285145
306,0.315617,0.284357
307,0.315617,0.288214
312,0.315617,0.285853
313,0.315617,0.276431
314,0.315617,0.293798
315,0.315617,0.162549
320,0.292800,0.288197
321,0.292800,0.278308
322,0.292800,0.288886
323,0.292800,0.285906
328,0.292800,0.183170
329,0.292800,0.288686
330,0.292800,0.273428
